State,Crop,AVERAGE PHL (%),Avg Rainfall,Avg Humidity,Avg Temp,Risk Score
FCT,"Cassava, fresh",30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,"Chillies and peppers, dry",30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,"Chillies and peppers, green",30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,"Cow peas, dry",30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,"Ginger, raw",30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Green corn (maize),30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Karite nuts (sheanuts),30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Kenaf,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Maize (corn),30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,"Mangoes, guavas and mangosteens",30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Melonseed,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Other fibre crops,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Other oil seeds,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Other pulses,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Rice,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Seed cotton,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Sesame seed,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Soya beans,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Tomatoes,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Unmanufactured tobacco,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,Yams,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
Gombe,Carrots and turnips,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,"Cashew nuts, in shell",30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,"Cassava, fresh",30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,"Chillies and peppers, dry",30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,"Chillies and peppers, green",30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,"Coffee, green",30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,"Cow peas, dry",30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Fonio,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,"Ginger, raw",30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Green garlic,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,"Groundnuts, excluding shelled",30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Melonseed,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Millet,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,"Onions and shallots, dry",30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,"Onions and shallots, green",30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Other oil seeds,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Other pulses,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Potatoes,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Rice,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Seed cotton,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Sesame seed,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Sorghum,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Tomatoes,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Wheat,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Gombe,Yams,30.0,118.96885416666667,59.557812500000004,25.78916666666667,Low
Imo,Bananas,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,"Cassava, fresh",30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Cocoa beans,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,"Coconuts, in shell",30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,"Coffee, green",30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Kola nuts,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,"Mangoes, guavas and mangosteens",30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Natural rubber,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Oil palm fruit,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Okra,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Other citrus fruit,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Other fruits,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Other nuts,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Other stimulant crops,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Other vegetables,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Papayas,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Pineapples,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Plantains and cooking bananas,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Rice,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Sugar cane,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Sweet potatoes,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Taro,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
Imo,Yams,30.0,179.94583333333333,85.87302083333333,25.921875,Medium
